date,births,dayofyear,wday
1978-01-01T00:00:00Z,7701,1,Sun
1978-01-02T00:00:00Z,7527,2,Mon
1978-01-03T00:00:00Z,8825,3,Tues
1978-01-04T00:00:00Z,8859,4,Wed
1978-01-05T00:00:00Z,9043,5,Thurs
1978-01-06T00:00:00Z,9208,6,Fri
1978-01-07T00:00:00Z,8084,7,Sat
1978-01-08T00:00:00Z,7611,8,Sun
1978-01-09T00:00:00Z,9172,9,Mon
1978-01-10T00:00:00Z,9089,10,Tues
1978-01-11T00:00:00Z,9210,11,Wed
1978-01-12T00:00:00Z,9259,12,Thurs
1978-01-13T00:00:00Z,9138,13,Fri
1978-01-14T00:00:00Z,8299,14,Sat
1978-01-15T00:00:00Z,7771,15,Sun
1978-01-16T00:00:00Z,9458,16,Mon
1978-01-17T00:00:00Z,9339,17,Tues
1978-01-18T00:00:00Z,9120,18,Wed
1978-01-19T00:00:00Z,9226,19,Thurs
1978-01-20T00:00:00Z,9305,20,Fri
1978-01-21T00:00:00Z,7954,21,Sat
1978-01-22T00:00:00Z,7560,22,Sun
1978-01-23T00:00:00Z,9252,23,Mon
1978-01-24T00:00:00Z,9416,24,Tues
1978-01-25T00:00:00Z,9090,25,Wed
1978-01-26T00:00:00Z,9387,26,Thurs
1978-01-27T00:00:00Z,8983,27,Fri
1978-01-28T00:00:00Z,7946,28,Sat
1978-01-29T00:00:00Z,7527,29,Sun
1978-01-30T00:00:00Z,9184,30,Mon
1978-01-31T00:00:00Z,9152,31,Tues
1978-02-01T00:00:00Z,9159,32,Wed
1978-02-02T00:00:00Z,9218,33,Thurs
1978-02-03T00:00:00Z,9167,34,Fri
1978-02-04T00:00:00Z,8065,35,Sat
1978-02-05T00:00:00Z,7804,36,Sun
1978-02-06T00:00:00Z,9225,37,Mon
1978-02-07T00:00:00Z,9328,38,Tues
1978-02-08T00:00:00Z,9139,39,Wed
1978-02-09T00:00:00Z,9247,40,Thurs
1978-02-10T00:00:00Z,9527,41,Fri
1978-02-11T00:00:00Z,8144,42,Sat
1978-02-12T00:00:00Z,7950,43,Sun
1978-02-13T00:00:00Z,8966,44,Mon
1978-02-14T00:00:00Z,9859,45,Tues
1978-02-15T00:00:00Z,9285,46,Wed
1978-02-16T00:00:00Z,9103,47,Thurs
1978-02-17T00:00:00Z,9238,48,Fri
1978-02-18T00:00:00Z,8167,49,Sat
1978-02-19T00:00:00Z,7695,50,Sun
1978-02-20T00:00:00Z,9021,51,Mon
1978-02-21T00:00:00Z,9252,52,Tues
1978-02-22T00:00:00Z,9335,53,Wed
1978-02-23T00:00:00Z,9268,54,Thurs
1978-02-24T00:00:00Z,9552,55,Fri
1978-02-25T00:00:00Z,8313,56,Sat
1978-02-26T00:00:00Z,7881,57,Sun
1978-02-27T00:00:00Z,9262,58,Mon
1978-02-28T00:00:00Z,9705,59,Tues
1978-03-01T00:00:00Z,9132,60,Wed
1978-03-02T00:00:00Z,9304,61,Thurs
1978-03-03T00:00:00Z,9431,62,Fri
1978-03-04T00:00:00Z,8008,63,Sat
1978-03-05T00:00:00Z,7791,64,Sun
1978-03-06T00:00:00Z,9294,65,Mon
1978-03-07T00:00:00Z,9573,66,Tues
1978-03-08T00:00:00Z,9212,67,Wed
1978-03-09T00:00:00Z,9218,68,Thurs
1978-03-10T00:00:00Z,9583,69,Fri
1978-03-11T00:00:00Z,8144,70,Sat
1978-03-12T00:00:00Z,7870,71,Sun
1978-03-13T00:00:00Z,9022,72,Mon
1978-03-14T00:00:00Z,9525,73,Tues
1978-03-15T00:00:00Z,9284,74,Wed
1978-03-16T00:00:00Z,9327,75,Thurs
1978-03-17T00:00:00Z,9480,76,Fri
1978-03-18T00:00:00Z,7965,77,Sat
1978-03-19T00:00:00Z,7729,78,Sun
1978-03-20T00:00:00Z,9135,79,Mon
1978-03-21T00:00:00Z,9663,80,Tues
1978-03-22T00:00:00Z,9307,81,Wed
1978-03-23T00:00:00Z,9159,82,Thurs
1978-03-24T00:00:00Z,9157,83,Fri
1978-03-25T00:00:00Z,7874,84,Sat
1978-03-26T00:00:00Z,7589,85,Sun
1978-03-27T00:00:00Z,9100,86,Mon
1978-03-28T00:00:00Z,9293,87,Tues
1978-03-29T00:00:00Z,9195,88,Wed
1978-03-30T00:00:00Z,8902,89,Thurs
1978-03-31T00:00:00Z,9318,90,Fri
1978-04-01T00:00:00Z,8069,91,Sat
1978-04-02T00:00:00Z,7691,92,Sun
1978-04-03T00:00:00Z,9114,93,Mon
1978-04-04T00:00:00Z,9439,94,Tues
1978-04-05T00:00:00Z,8852,95,Wed
1978-04-06T00:00:00Z,8969,96,Thurs
1978-04-07T00:00:00Z,9077,97,Fri
1978-04-08T00:00:00Z,7890,98,Sat
1978-04-09T00:00:00Z,7445,99,Sun
1978-04-10T00:00:00Z,8870,100,Mon
1978-04-11T00:00:00Z,9023,101,Tues
1978-04-12T00:00:00Z,8606,102,Wed
1978-04-13T00:00:00Z,8724,103,Thurs
1978-04-14T00:00:00Z,9012,104,Fri
1978-04-15T00:00:00Z,7527,105,Sat
1978-04-16T00:00:00Z,7193,106,Sun
1978-04-17T00:00:00Z,8702,107,Mon
1978-04-18T00:00:00Z,9205,108,Tues
1978-04-19T00:00:00Z,8720,109,Wed
1978-04-20T00:00:00Z,8582,110,Thurs
1978-04-21T00:00:00Z,8892,111,Fri
1978-04-22T00:00:00Z,7787,112,Sat
1978-04-23T00:00:00Z,7304,113,Sun
1978-04-24T00:00:00Z,9017,114,Mon
1978-04-25T00:00:00Z,9077,115,Tues
1978-04-26T00:00:00Z,9019,116,Wed
1978-04-27T00:00:00Z,8839,117,Thurs
1978-04-28T00:00:00Z,9047,118,Fri
1978-04-29T00:00:00Z,7750,119,Sat
1978-04-30T00:00:00Z,7135,120,Sun
1978-05-01T00:00:00Z,8900,121,Mon
1978-05-02T00:00:00Z,9422,122,Tues
1978-05-03T00:00:00Z,9051,123,Wed
1978-05-04T00:00:00Z,8672,124,Thurs
1978-05-05T00:00:00Z,9101,125,Fri
1978-05-06T00:00:00Z,7718,126,Sat
1978-05-07T00:00:00Z,7388,127,Sun
1978-05-08T00:00:00Z,8987,128,Mon
1978-05-09T00:00:00Z,9307,129,Tues
1978-05-10T00:00:00Z,9273,130,Wed
1978-05-11T00:00:00Z,8903,131,Thurs
1978-05-12T00:00:00Z,8975,132,Fri
1978-05-13T00:00:00Z,7762,133,Sat
1978-05-14T00:00:00Z,7382,134,Sun
1978-05-15T00:00:00Z,9195,135,Mon
1978-05-16T00:00:00Z,9200,136,Tues
1978-05-17T00:00:00Z,8913,137,Wed
1978-05-18T00:00:00Z,9044,138,Thurs
1978-05-19T00:00:00Z,9000,139,Fri
1978-05-20T00:00:00Z,8064,140,Sat
1978-05-21T00:00:00Z,7570,141,Sun
1978-05-22T00:00:00Z,9089,142,Mon
1978-05-23T00:00:00Z,9210,143,Tues
1978-05-24T00:00:00Z,9196,144,Wed
1978-05-25T00:00:00Z,9180,145,Thurs
1978-05-26T00:00:00Z,9514,146,Fri
1978-05-27T00:00:00Z,8005,147,Sat
1978-05-28T00:00:00Z,7781,148,Sun
1978-05-29T00:00:00Z,7780,149,Mon
1978-05-30T00:00:00Z,9630,150,Tues
1978-05-31T00:00:00Z,9600,151,Wed
1978-06-01T00:00:00Z,9435,152,Thurs
1978-06-02T00:00:00Z,9303,153,Fri
1978-06-03T00:00:00Z,7971,154,Sat
1978-06-04T00:00:00Z,7399,155,Sun
1978-06-05T00:00:00Z,9127,156,Mon
1978-06-06T00:00:00Z,9606,157,Tues
1978-06-07T00:00:00Z,9328,158,Wed
1978-06-08T00:00:00Z,9075,159,Thurs
1978-06-09T00:00:00Z,9362,160,Fri
1978-06-10T00:00:00Z,8040,161,Sat
1978-06-11T00:00:00Z,7581,162,Sun
1978-06-12T00:00:00Z,9201,163,Mon
1978-06-13T00:00:00Z,9264,164,Tues
1978-06-14T00:00:00Z,9216,165,Wed
1978-06-15T00:00:00Z,9175,166,Thurs
1978-06-16T00:00:00Z,9350,167,Fri
1978-06-17T00:00:00Z,8233,168,Sat
1978-06-18T00:00:00Z,7777,169,Sun
1978-06-19T00:00:00Z,9543,170,Mon
1978-06-20T00:00:00Z,9672,171,Tues
1978-06-21T00:00:00Z,9266,172,Wed
1978-06-22T00:00:00Z,9405,173,Thurs
1978-06-23T00:00:00Z,9598,174,Fri
1978-06-24T00:00:00Z,8122,175,Sat
1978-06-25T00:00:00Z,8091,176,Sun
1978-06-26T00:00:00Z,9348,177,Mon
1978-06-27T00:00:00Z,9857,178,Tues
1978-06-28T00:00:00Z,9701,179,Wed
1978-06-29T00:00:00Z,9630,180,Thurs
1978-06-30T00:00:00Z,10080,181,Fri
1978-07-01T00:00:00Z,8209,182,Sat
1978-07-02T00:00:00Z,7976,183,Sun
1978-07-03T00:00:00Z,9284,184,Mon
1978-07-04T00:00:00Z,8433,185,Tues
1978-07-05T00:00:00Z,9675,186,Wed
1978-07-06T00:00:00Z,10184,187,Thurs
1978-07-07T00:00:00Z,10241,188,Fri
1978-07-08T00:00:00Z,8773,189,Sat
1978-07-09T00:00:00Z,8102,190,Sun
1978-07-10T00:00:00Z,9877,191,Mon
1978-07-11T00:00:00Z,9852,192,Tues
1978-07-12T00:00:00Z,9705,193,Wed
1978-07-13T00:00:00Z,9984,194,Thurs
1978-07-14T00:00:00Z,10438,195,Fri
1978-07-15T00:00:00Z,8859,196,Sat
1978-07-16T00:00:00Z,8416,197,Sun
1978-07-17T00:00:00Z,10026,198,Mon
1978-07-18T00:00:00Z,10357,199,Tues
1978-07-19T00:00:00Z,10015,200,Wed
1978-07-20T00:00:00Z,10386,201,Thurs
1978-07-21T00:00:00Z,10332,202,Fri
1978-07-22T00:00:00Z,9062,203,Sat
1978-07-23T00:00:00Z,8563,204,Sun
1978-07-24T00:00:00Z,9960,205,Mon
1978-07-25T00:00:00Z,10349,206,Tues
1978-07-26T00:00:00Z,10091,207,Wed
1978-07-27T00:00:00Z,10192,208,Thurs
1978-07-28T00:00:00Z,10307,209,Fri
1978-07-29T00:00:00Z,8677,210,Sat
1978-07-30T00:00:00Z,8486,211,Sun
1978-07-31T00:00:00Z,9890,212,Mon
1978-08-01T00:00:00Z,10145,213,Tues
1978-08-02T00:00:00Z,9824,214,Wed
1978-08-03T00:00:00Z,10128,215,Thurs
1978-08-04T00:00:00Z,10051,216,Fri
1978-08-05T00:00:00Z,8738,217,Sat
1978-08-06T00:00:00Z,8442,218,Sun
1978-08-07T00:00:00Z,10206,219,Mon
1978-08-08T00:00:00Z,10442,220,Tues
1978-08-09T00:00:00Z,10142,221,Wed
1978-08-10T00:00:00Z,10284,222,Thurs
1978-08-11T00:00:00Z,10162,223,Fri
1978-08-12T00:00:00Z,8951,224,Sat
1978-08-13T00:00:00Z,8532,225,Sun
1978-08-14T00:00:00Z,10127,226,Mon
1978-08-15T00:00:00Z,10502,227,Tues
1978-08-16T00:00:00Z,10053,228,Wed
1978-08-17T00:00:00Z,10377,229,Thurs
1978-08-18T00:00:00Z,10355,230,Fri
1978-08-19T00:00:00Z,8904,231,Sat
1978-08-20T00:00:00Z,8477,232,Sun
1978-08-21T00:00:00Z,9967,233,Mon
1978-08-22T00:00:00Z,10229,234,Tues
1978-08-23T00:00:00Z,9900,235,Wed
1978-08-24T00:00:00Z,10152,236,Thurs
1978-08-25T00:00:00Z,10173,237,Fri
1978-08-26T00:00:00Z,8782,238,Sat
1978-08-27T00:00:00Z,8453,239,Sun
1978-08-28T00:00:00Z,9998,240,Mon
1978-08-29T00:00:00Z,10387,241,Tues
1978-08-30T00:00:00Z,10063,242,Wed
1978-08-31T00:00:00Z,9849,243,Thurs
1978-09-01T00:00:00Z,10114,244,Fri
1978-09-02T00:00:00Z,8580,245,Sat
1978-09-03T00:00:00Z,8355,246,Sun
1978-09-04T00:00:00Z,8481,247,Mon
1978-09-05T00:00:00Z,10023,248,Tues
1978-09-06T00:00:00Z,10703,249,Wed
1978-09-07T00:00:00Z,10292,250,Thurs
1978-09-08T00:00:00Z,10371,251,Fri
1978-09-09T00:00:00Z,9023,252,Sat
1978-09-10T00:00:00Z,8630,253,Sun
1978-09-11T00:00:00Z,10154,254,Mon
1978-09-12T00:00:00Z,10425,255,Tues
1978-09-13T00:00:00Z,10149,256,Wed
1978-09-14T00:00:00Z,10265,257,Thurs
1978-09-15T00:00:00Z,10265,258,Fri
1978-09-16T00:00:00Z,9170,259,Sat
1978-09-17T00:00:00Z,8711,260,Sun
1978-09-18T00:00:00Z,10304,261,Mon
1978-09-19T00:00:00Z,10711,262,Tues
1978-09-20T00:00:00Z,10488,263,Wed
1978-09-21T00:00:00Z,10499,264,Thurs
1978-09-22T00:00:00Z,10349,265,Fri
1978-09-23T00:00:00Z,8735,266,Sat
1978-09-24T00:00:00Z,8647,267,Sun
1978-09-25T00:00:00Z,10414,268,Mon
1978-09-26T00:00:00Z,10498,269,Tues
1978-09-27T00:00:00Z,10344,270,Wed
1978-09-28T00:00:00Z,10175,271,Thurs
1978-09-29T00:00:00Z,10368,272,Fri
1978-09-30T00:00:00Z,8648,273,Sat
1978-10-01T00:00:00Z,8686,274,Sun
1978-10-02T00:00:00Z,9927,275,Mon
1978-10-03T00:00:00Z,10378,276,Tues
1978-10-04T00:00:00Z,9928,277,Wed
1978-10-05T00:00:00Z,9949,278,Thurs
1978-10-06T00:00:00Z,10052,279,Fri
1978-10-07T00:00:00Z,8605,280,Sat
1978-10-08T00:00:00Z,8377,281,Sun
1978-10-09T00:00:00Z,9765,282,Mon
1978-10-10T00:00:00Z,10351,283,Tues
1978-10-11T00:00:00Z,9873,284,Wed
1978-10-12T00:00:00Z,9824,285,Thurs
1978-10-13T00:00:00Z,9755,286,Fri
1978-10-14T00:00:00Z,8554,287,Sat
1978-10-15T00:00:00Z,7873,288,Sun
1978-10-16T00:00:00Z,9531,289,Mon
1978-10-17T00:00:00Z,9938,290,Tues
1978-10-18T00:00:00Z,9388,291,Wed
1978-10-19T00:00:00Z,9502,292,Thurs
1978-10-20T00:00:00Z,9625,293,Fri
1978-10-21T00:00:00Z,8411,294,Sat
1978-10-22T00:00:00Z,7936,295,Sun
1978-10-23T00:00:00Z,9425,296,Mon
1978-10-24T00:00:00Z,9576,297,Tues
1978-10-25T00:00:00Z,9328,298,Wed
1978-10-26T00:00:00Z,9501,299,Thurs
1978-10-27T00:00:00Z,9537,300,Fri
1978-10-28T00:00:00Z,8415,301,Sat
1978-10-29T00:00:00Z,8155,302,Sun
1978-10-30T00:00:00Z,9457,303,Mon
1978-10-31T00:00:00Z,9333,304,Tues
1978-11-01T00:00:00Z,9321,305,Wed
1978-11-02T00:00:00Z,9245,306,Thurs
1978-11-03T00:00:00Z,9774,307,Fri
1978-11-04T00:00:00Z,8246,308,Sat
1978-11-05T00:00:00Z,8011,309,Sun
1978-11-06T00:00:00Z,9507,310,Mon
1978-11-07T00:00:00Z,9769,311,Tues
1978-11-08T00:00:00Z,9501,312,Wed
1978-11-09T00:00:00Z,9609,313,Thurs
1978-11-10T00:00:00Z,9652,314,Fri
1978-11-11T00:00:00Z,8352,315,Sat
1978-11-12T00:00:00Z,7967,316,Sun
1978-11-13T00:00:00Z,9606,317,Mon
1978-11-14T00:00:00Z,10014,318,Tues
1978-11-15T00:00:00Z,9536,319,Wed
1978-11-16T00:00:00Z,9568,320,Thurs
1978-11-17T00:00:00Z,9835,321,Fri
1978-11-18T00:00:00Z,8432,322,Sat
1978-11-19T00:00:00Z,7868,323,Sun
1978-11-20T00:00:00Z,9592,324,Mon
1978-11-21T00:00:00Z,9950,325,Tues
1978-11-22T00:00:00Z,9548,326,Wed
1978-11-23T00:00:00Z,7915,327,Thurs
1978-11-24T00:00:00Z,9037,328,Fri
1978-11-25T00:00:00Z,8275,329,Sat
1978-11-26T00:00:00Z,8068,330,Sun
1978-11-27T00:00:00Z,9825,331,Mon
1978-11-28T00:00:00Z,9814,332,Tues
1978-11-29T00:00:00Z,9438,333,Wed
1978-11-30T00:00:00Z,9396,334,Thurs
1978-12-01T00:00:00Z,9592,335,Fri
1978-12-02T00:00:00Z,8528,336,Sat
1978-12-03T00:00:00Z,8196,337,Sun
1978-12-04T00:00:00Z,9767,338,Mon
1978-12-05T00:00:00Z,9881,339,Tues
1978-12-06T00:00:00Z,9402,340,Wed
1978-12-07T00:00:00Z,9480,341,Thurs
1978-12-08T00:00:00Z,9398,342,Fri
1978-12-09T00:00:00Z,8335,343,Sat
1978-12-10T00:00:00Z,8093,344,Sun
1978-12-11T00:00:00Z,9686,345,Mon
1978-12-12T00:00:00Z,10063,346,Tues
1978-12-13T00:00:00Z,9509,347,Wed
1978-12-14T00:00:00Z,9524,348,Thurs
1978-12-15T00:00:00Z,9951,349,Fri
1978-12-16T00:00:00Z,8507,350,Sat
1978-12-17T00:00:00Z,8172,351,Sun
1978-12-18T00:00:00Z,10196,352,Mon
1978-12-19T00:00:00Z,10605,353,Tues
1978-12-20T00:00:00Z,9998,354,Wed
1978-12-21T00:00:00Z,9398,355,Thurs
1978-12-22T00:00:00Z,9008,356,Fri
1978-12-23T00:00:00Z,7939,357,Sat
1978-12-24T00:00:00Z,7964,358,Sun
1978-12-25T00:00:00Z,7846,359,Mon
1978-12-26T00:00:00Z,8902,360,Tues
1978-12-27T00:00:00Z,9907,361,Wed
1978-12-28T00:00:00Z,10177,362,Thurs
1978-12-29T00:00:00Z,10401,363,Fri
1978-12-30T00:00:00Z,8474,364,Sat
1978-12-31T00:00:00Z,8028,365,Sun
